ws_id,name,height,nationality,posistion,birth_date,tp_id
2672,Mykhailo Mudryk,175,Ukraine,Attacking Midfielder (Left),05-01-2001,588
2711,Vitalii Mykolenko,180,Ukraine,"Defender (Centre, Left),",29-05-1999,874
2739,Dan James,171,Wales,"Attacking Midfielder (Centre, Left, Right),",10-11-1997,1044
2769,Dan James,171,Wales,"Attacking Midfielder (Centre, Left, Right),",10-11-1997,1044
2826,Alex Oxlade Chamberlain,180,England,"Midfielder (Centre, Left, Right)",15-08-1993,617
